Z,N,BE,bet2,bet4,Rch,Edef,Sn,Sp,Qbet,Mcal,Mexp-Mcal,Jexp,Jth,Pexp,Pth
97,140,1783.516036,0.28,0.16,5.874,12.12,8.12,2.24,-4.62,53.5,999.99,99.9,1.5,9,-1
97,141,1790.577354,0.28,0.13,5.877,12.45,7.07,2.47,-3.25,54.51,999.99,99.9,4.0,9,-1
97,142,1798.368672,0.28,0.16,5.882,13.12,7.79,2.43,-3.74,54.79,999.99,99.9,1.5,9,-1
97,143,1804.82999,0.28,0.14,5.887,12.85,6.46,2.35,-2.15,56.4,999.99,99.9,5.0,9,1
97,144,1812.791308,0.3,0.16,5.907,13.91,7.96,2.9,-3.41,56.51,999.99,3.5,1.5,1,-1
97,145,1819.192626,0.27,0.11,5.897,13.66,6.4,3.18,-1.71,58.18,999.99,99.9,2.0,9,-1
97,146,1826.583943,0.27,0.12,5.902,14.44,7.4,3.69,-2.4,58.86,-0.17,1.5,1.5,-1,-1
97,147,1832.485261,0.26,0.11,5.907,13.88,5.89,3.66,-0.82,61.03,-0.32,4.0,4.0,-1,-1
97,148,1839.486579,0.3,0.12,5.93,14.5,7.01,3.72,-1.57,62.1,-0.28,1.5,1.5,-1,-1
97,149,1845.267897,0.28,0.09,5.926,14.3,5.79,4.12,-0.14,64.39,-0.42,2.0,2.0,-1,-1
97,150,1852.079215,0.28,0.1,5.927,14.58,6.8,4.33,-1.0,65.65,-0.16,1.5,1.5,-1,-1
97,151,1857.390533,0.29,0.09,5.94,13.98,5.32,4.9,0.66,68.41,999.99,99.9,3.0,9,1
97,152,1863.901851,0.28,0.08,5.939,14.15,6.51,4.9,-0.29,69.97,-0.12,3.5,1.5,1,-1
97,153,1868.923169,0.28,0.06,5.947,13.34,5.02,5.07,1.56,73.02,-0.07,2.0,1.0,-1,-1
97,154,1874.954487,0.28,0.07,5.951,13.19,6.04,5.2,0.89,75.06,0.17,1.5,1.5,-1,-1
97,155,1879.885805,0.28,0.06,5.953,12.44,4.93,5.42,2.18,78.2,999.99,99.9,2.0,9,-1
97,156,1885.587122,0.28,0.06,5.958,12.14,5.7,5.68,1.42,80.57,999.99,99.9,1.5,9,-1
