Z,N,BE,QDE2t,QDE3t,QDE4t,QDE6t,QDB2t,QDB3t,QDB4t,QDB6t,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
42,43,710.64,-0.23,0.0,0.1,0.05,-0.234,0.0,-0.092,-0.019,-0.04,3.13,-57.44,3.15,-57.47,,
42,44,725.19,-0.23,0.0,0.1,0.05,-0.234,0.0,-0.092,-0.019,-0.46,2.64,-63.91,-64.56,0.438,2.68,-63.88
42,45,736.39,-0.23,0.0,0.1,0.05,-0.234,0.0,-0.092,-0.019,-0.75,2.32,-67.04,-67.69,0.223,2.35,-66.99
42,46,750.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.5,-72.94,-72.7,0.02,1.5,-72.9
42,47,761.12,-0.02,0.0,0.0,0.0,-0.021,0.0,0.0,0.0,0.12,0.8,-75.63,-75.0,0.015,0.8,-75.56
42,48,774.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,-0.38,-81.05,-80.17,0.006,-0.38,-80.96
42,49,784.63,0.03,0.0,0.01,0.0,0.032,0.0,-0.012,0.0,-2.19,-1.13,-83.0,-82.2,0.011,-1.13,-82.91
42,50,797.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,-2.14,-87.46,-86.81,0.004,-2.15,-87.35
42,51,804.99,-0.01,0.0,0.0,0.0,-0.011,0.0,0.0,0.0,-2.39,-1.44,-87.22,-86.8,0.004,-1.45,-87.11
42,52,814.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24,-0.48,-88.94,-88.41,0.002,-0.48,-88.83
42,53,821.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.55,-87.68,-87.71,0.002,0.55,-87.57
42,54,830.34,0.14,0.0,-0.03,0.01,0.15,0.0,0.045,-0.004,0.17,1.85,-88.36,-88.79,0.002,1.88,-88.22
42,55,836.98,0.16,0.0,-0.02,0.02,0.172,0.0,0.036,-0.015,0.6,2.39,-86.92,-87.54,0.002,2.42,-86.79
42,56,845.77,0.19,0.0,0.0,0.02,0.206,0.0,0.017,-0.019,0.86,2.97,-87.64,-88.11,0.002,3.02,-87.5
42,57,851.81,0.22,0.0,0.0,0.02,0.239,0.0,0.023,-0.018,0.85,3.48,-85.61,-85.97,0.002,3.53,-85.48
42,58,860.21,0.23,0.0,0.01,0.02,0.251,0.0,0.013,-0.021,1.1,3.82,-85.94,-86.18,0.006,3.88,-85.8
42,59,866.05,0.27,0.0,0.0,0.01,0.295,0.0,0.033,-0.006,0.55,3.93,-83.71,-83.51,0.006,3.99,-83.59
42,60,874.2,0.3,0.0,0.0,0.01,0.329,0.0,0.041,-0.005,-0.11,3.92,-83.78,-83.56,0.021,4.01,-83.64
42,61,879.72,0.34,0.0,0.01,0.02,0.376,0.0,0.042,-0.016,-1.19,3.79,-81.23,-80.85,0.061,3.89,-81.09
42,62,887.25,0.34,0.0,0.02,0.02,0.377,0.0,0.03,-0.02,-1.09,3.81,-80.69,-80.33,0.054,3.95,-80.52
42,63,891.97,0.35,0.0,0.03,0.02,0.389,0.0,0.022,-0.024,-1.4,3.94,-77.35,-77.34,0.071,4.07,-77.2
42,64,898.93,0.32,0.0,0.03,0.01,0.354,0.0,0.01,-0.016,-0.65,3.99,-76.23,-76.25,0.018,4.11,-76.11
42,65,903.43,0.31,0.0,0.04,0.0,0.343,0.0,-0.006,-0.01,-0.63,3.84,-72.66,-72.94,0.162,3.92,-72.58
42,66,909.96,0.3,0.0,0.05,-0.01,0.333,0.0,-0.023,-0.004,-0.47,3.79,-71.12,3.91,-71.02,,
42,67,914.03,0.3,0.0,0.06,-0.02,0.333,0.0,-0.036,0.002,-0.65,3.59,-67.11,3.72,-67.01,,
42,68,920.33,0.3,0.0,0.07,-0.03,0.334,0.0,-0.05,0.008,-0.91,3.28,-65.34,3.49,-65.17,,
42,69,924.0,0.3,0.0,0.08,-0.03,0.335,0.0,-0.062,0.004,-1.5,3.01,-60.94,3.23,-60.76,,
42,70,929.54,0.29,0.0,0.08,-0.03,0.323,0.0,-0.064,0.005,-1.25,2.99,-58.41,3.25,-58.19,,
42,71,932.62,0.28,0.0,0.08,-0.03,0.312,0.0,-0.067,0.006,-1.14,2.87,-53.42,3.12,-53.21,,
42,72,937.72,-0.22,0.0,0.07,0.01,-0.227,0.0,-0.059,0.007,0.25,2.84,-50.44,3.05,-50.28,,
42,73,940.85,-0.22,0.0,0.08,0.02,-0.227,0.0,-0.071,0.001,-0.35,2.25,-45.51,2.51,-45.28,,
42,74,945.8,-0.19,0.0,0.08,0.03,-0.195,0.0,-0.076,-0.01,-0.34,1.95,-42.38,2.26,-42.08,,
42,75,948.83,-0.18,0.0,0.08,0.04,-0.184,0.0,-0.078,-0.02,-0.97,1.06,-37.35,1.44,-36.97,,
42,76,953.61,-0.16,0.0,0.08,0.04,-0.164,0.0,-0.081,-0.021,-1.42,0.51,-34.05,0.93,-33.62,,
42,77,956.02,-0.16,0.0,0.08,0.04,-0.164,0.0,-0.081,-0.021,-2.45,-0.14,-28.39,0.29,-27.93,,
42,78,960.38,-0.15,0.0,0.07,0.03,-0.154,0.0,-0.071,-0.015,-2.73,-0.66,-24.68,-0.34,-24.3,,
42,79,962.91,-0.12,0.0,0.06,0.03,-0.124,0.0,-0.063,-0.019,-3.43,-1.79,-19.14,-1.5,-18.76,,
42,80,967.22,0.0,0.0,-0.01,0.0,0.0,0.0,0.012,0.0,-3.65,-2.64,-15.38,-2.63,-15.25,,
42,81,970.0,0.02,0.0,0.01,0.0,0.021,0.0,-0.012,0.0,-5.61,-4.36,-10.09,-4.36,-9.92,,
42,82,974.41,0.0,0.0,0.01,0.0,0.0,0.0,-0.012,0.0,-7.06,-5.67,-6.42,-5.66,-6.21,,
42,83,974.28,-0.01,0.0,-0.01,0.01,-0.011,0.0,0.012,-0.01,-6.05,-4.83,1.77,-4.8,2.05,,
42,84,976.11,0.0,0.0,0.01,0.0,0.0,0.0,-0.012,0.0,-5.03,-3.89,8.02,-3.89,8.33,,
42,85,975.66,0.0,0.0,0.01,0.0,0.0,0.0,-0.012,0.0,-4.06,-3.05,16.54,-3.04,16.91,,
42,86,977.01,0.0,0.0,0.01,0.0,0.0,0.0,-0.012,0.0,-2.86,-1.96,23.26,-1.96,23.7,,
42,87,976.3,0.0,0.0,0.01,0.0,0.0,0.0,-0.012,0.0,-1.93,-1.16,32.04,-1.15,32.54,,
42,88,977.47,0.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.01,-0.83,-0.22,38.94,-0.19,39.54,,
42,89,976.77,0.02,0.09,-0.01,0.02,0.025,-0.121,0.015,-0.014,-1.22,0.29,47.71,0.57,48.65,,
42,90,977.76,0.0,0.1,-0.01,0.01,0.004,-0.135,0.016,-0.003,-0.53,1.11,54.79,1.4,55.83,,
42,91,976.7,0.2,0.0,-0.06,0.0,0.216,0.0,0.092,0.018,-0.94,1.7,63.93,2.07,65.14,,
42,92,977.84,0.21,0.0,-0.05,0.0,0.227,0.0,0.081,0.016,-0.53,2.08,70.86,2.37,72.08,,
42,93,977.16,0.21,0.0,-0.05,0.0,0.227,0.0,0.081,0.016,-0.59,2.01,79.6,2.29,80.93,,
42,94,978.17,0.24,0.0,-0.05,0.01,0.26,0.0,0.088,0.009,-0.8,2.24,86.67,2.52,88.1,,
42,95,977.19,0.25,0.0,-0.04,0.01,0.271,0.0,0.078,0.006,-0.91,2.22,95.72,2.4,97.18,,
42,96,977.87,0.25,0.0,-0.03,0.01,0.271,0.0,0.065,0.003,-0.5,2.51,103.11,2.64,104.64,,
42,97,976.89,0.27,0.0,-0.02,0.02,0.294,0.0,0.059,-0.009,-0.98,2.24,112.16,2.35,113.8,,
42,98,977.55,0.28,0.0,-0.01,0.02,0.306,0.0,0.049,-0.012,-0.9,2.3,119.57,2.38,121.33,,
42,99,976.45,0.28,0.0,0.0,0.02,0.306,0.0,0.037,-0.016,-1.21,1.91,128.75,1.97,130.63,,
42,100,976.86,0.29,0.0,0.01,0.02,0.318,0.0,0.027,-0.019,-1.29,1.96,136.41,2.04,138.45,,
42,101,975.48,0.29,0.0,0.02,0.02,0.319,0.0,0.015,-0.022,-1.61,1.63,145.86,1.72,148.07,,
42,102,975.7,0.29,0.0,0.03,0.02,0.32,0.0,0.003,-0.026,-1.51,1.64,153.71,1.79,156.16,,
43,36,600.13,-0.27,0.0,0.08,0.02,-0.277,0.0,-0.061,0.004,1.12,3.89,3.86,3.85,3.3,,
43,37,616.3,-0.24,0.0,0.08,0.03,-0.247,0.0,-0.068,-0.007,1.64,4.18,-4.24,4.14,-4.72,,
43,38,634.61,0.37,0.0,0.06,-0.02,0.415,0.0,-0.015,0.001,-0.62,3.93,-14.47,3.83,-14.95,,
43,39,649.96,0.38,0.0,0.07,-0.01,0.428,0.0,-0.022,-0.014,-1.1,3.92,-21.76,3.79,-22.19,,
43,40,667.23,-0.23,0.0,0.1,0.05,-0.234,0.0,-0.092,-0.019,0.56,3.59,-30.96,3.6,-31.19,,
